name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1022;0;998;3183;1894;3183;1917;0
header;217;191;217;229;1923;229;1923;191
A;1056;265;1056;297;1084;297;1084;265
A;1053;391;1053;392;1056;392;1056;391
A;1077;462;1077;466;1080;466;1080;462
B;1533;494;1533;513;1550;513;1550;494
B;1293;672;1293;690;1309;690;1309;672
B;1053;951;1053;982;1076;982;1076;951
B;1150;1294;1150;1312;1166;1312;1166;1294
A;1894;1384;1894;1401;1907;1401;1907;1384
C;1043;1632;1043;1665;1064;1665;1064;1632
A;1113;1760;1113;1766;1118;1766;1118;1760
A;1083;1761;1083;1766;1089;1766;1089;1761
A;1201;1762;1201;1766;1206;1766;1206;1762
B;1478;1890;1478;1908;1494;1908;1494;1890
A;1040;2203;1040;2205;1044;2205;1044;2203
D;1039;2319;1039;2351;1062;2351;1062;2319
B;1529;2735;1529;2754;1545;2754;1545;2735
